model,task_id,n_requests,output_tokens_mean,output_tokens_median,output_tokens_p90,output_tokens_max,cumulative_output_at_end,latency_ms_mean,verbosity_index
qwen3-235b-a22b-instruct-2507,t05,80,20.0,20.0,20.0,20,1600,496.5,20.0
qwen3-235b-a22b-instruct-2507,t06,160,13.0,13.0,13.0,13,2080,536.0,13.0
qwen3-235b-a22b-instruct-2507,t07,80,444.0,282.5,982.6,2322,35517,5011.4,444.0
qwen3-235b-a22b-instruct-2507,t08,74,13.0,13.0,13.0,13,962,450.6,13.0
qwen3-235b-a22b-instruct-2507,t09,151,19.5,20.0,20.0,20,2945,527.0,20.0
qwen3-235b-a22b-instruct-2507,t10,81,956.6,860.0,1908.0,5870,77488,10884.3,957.0
qwen3-235b-a22b-instruct-2507,t11,160,14.0,14.0,14.0,14,2240,460.4,14.0
qwen3-coder-480b-a35b-instruct,t01,80,20.0,20.0,20.0,20,1600,414.2,20.0
qwen3-coder-480b-a35b-instruct,t02,80,39.7,40.0,40.0,40,3173,562.5,40.0
qwen3-coder-480b-a35b-instruct,t03,160,18.4,17.5,24.0,24,2936,360.6,18.0
qwen3-coder-480b-a35b-instruct,t04,80,36.0,36.0,36.0,36,2880,412.4,36.0
qwen3-coder-480b-a35b-instruct,t05,80,19.7,20.0,20.0,20,1576,367.1,20.0
qwen3-coder-480b-a35b-instruct,t06,160,13.0,13.0,13.0,13,2080,416.2,13.0
qwen3-coder-480b-a35b-instruct,t07,80,86.6,88.0,105.2,131,6924,687.4,87.0
qwen3-coder-480b-a35b-instruct,t08,74,13.0,13.0,13.0,13,962,323.3,13.0
qwen3-coder-480b-a35b-instruct,t09,160,19.9,20.0,20.0,20,3184,435.7,20.0
qwen3-coder-480b-a35b-instruct,t10,400,17.5,13.0,13.0,509,6993,731.5,17.0
qwen3-coder-480b-a35b-instruct,t11,160,14.0,14.0,14.0,14,2240,374.4,14.0
qwen3-next-80b-a3b-instruct,t01,80,20.0,20.0,20.0,20,1600,541.7,20.0
qwen3-next-80b-a3b-instruct,t02,80,37.6,38.0,38.0,40,3010,707.8,38.0
qwen3-next-80b-a3b-instruct,t03,160,17.5,17.5,22.0,24,2802,751.1,18.0
qwen3-next-80b-a3b-instruct,t04,80,36.5,37.0,37.0,37,2921,588.0,37.0
qwen3-next-80b-a3b-instruct,t05,80,20.0,20.0,20.0,20,1600,568.4,20.0
qwen3-next-80b-a3b-instruct,t06,160,12.9,13.0,13.0,13,2067,725.4,13.0
